,estimated_delivery_price,best_bid_amount,best_ask_amount,underlying_index,bid_iv,ask_iv,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,state,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,strikePx,maturity,days_to_maturity,moneyness
128,65110.44,8.6,40.0,SYN.BTC-22JUN24,0.0,103.22,65161.3214,72.66,0.108,0.1125,0.0,0.0,0.149,0.073,,"[[0.1125, 40.0], [0.1135, 6.4]]","[[0.108, 8.6], [0.1075, 40.0], [0.0005, 0.5], [0.0001, 1.2]]",,BTC-22JUN24-58000-C,0.1103,65110.44,71981140433,open,1718848236646,3.5055,-38.90796,2.4163,1e-05,0.98061,0.0,0.0,,,,58000.0,2024-06-22,1,0.8900985853856549
129,65108.27,3.7,5.1,SYN.BTC-22JUN24,69.25,74.81,65154.9886,72.66,0.0003,0.0005,0.0,6.8,0.018,0.0001,0.0004,"[[0.0005, 5.1], [0.0006, 66.3], [0.0007, 70.7], [0.0008, 13.5], [0.0009, 69.0]]","[[0.0003, 3.7], [0.0002, 16.5], [0.0001, 23.5]]",,BTC-22JUN24-58000-P,0.0004,65108.27,71981140642,open,1718848237655,-0.08009,-27.03424,2.4244,1e-05,-0.01947,188.7,6.8,-20.0,0.0004,0.0005,58000.0,2024-06-22,1,-0.8901850993493997
130,65108.01,6.7,40.0,SYN.BTC-22JUN24,0.0,90.95,65152.6614,66.26,0.0925,0.097,0.0,0.0,0.134,0.057,,"[[0.097, 40.0], [0.098, 5.2]]","[[0.0925, 6.7], [0.092, 40.0], [0.0005, 0.5], [0.0001, 1.2]]",,BTC-22JUN24-59000-C,0.095,65108.01,71981142304,open,1718848238875,3.53699,-46.5897,3.1728,2e-05,0.9732,0.0,0.0,,,,59000.0,2024-06-22,1,0.9055654632091514
131,65107.14,1.0,65.9,SYN.BTC-22JUN24,63.06,69.25,65152.33,66.26,0.0004,0.0007,0.0,5.7,0.0195,0.0001,0.0004,"[[0.0007, 65.9], [0.0008, 39.3], [0.001, 9.2], [0.0011, 59.7]]","[[0.0004, 1.0], [0.0003, 25.5], [0.0002, 46.6], [0.0001, 19.3]]",,BTC-22JUN24-59000-P,0.0005,65107.14,71981142582,open,1718848239668,-0.11012,-35.32521,3.17312,2e-05,-0.0268,211.15,5.7,-20.0,0.0004,0.0006,59000.0,2024-06-22,1,-0.9055700694050389
132,65107.06,40.0,40.0,SYN.BTC-22JUN24,0.0,81.84,65151.4143,61.58,0.077,0.082,0.0,0.0,0.1195,0.041,,"[[0.082, 40.0]]","[[0.077, 40.0], [0.0005, 0.5], [0.0001, 1.2]]",,BTC-22JUN24-60000-C,0.0799,65107.06,71981142278,open,1718848240674,3.5355,-62.91875,4.61087,3e-05,0.95779,0.0,0.0,,,,60000.0,2024-06-22,1,0.9209316581175123
133,65107.06,5.0,11.0,SYN.BTC-22JUN24,59.39,62.32,65151.4143,61.58,0.0007,0.0009,0.0,5.2,0.022,0.0001,0.0008,"[[0.0009, 11.0], [0.001, 90.7], [0.0011, 17.1], [0.0012, 8.0], [0.0013, 59.4], [0.0014, 0.1]]","[[0.0007, 5.0], [0.0006, 1.8], [0.0005, 18.7], [0.0004, 46.0], [0.0003, 11.0], [0.0002, 2.3], [0.0001, 10.7]]",,BTC-22JUN24-60000-P,0.0008,65107.06,71981141723,open,1718848240675,-0.1734,-55.15564,4.61087,3e-05,-0.04221,271.1,5.2,-20.0,0.0007,0.001,60000.0,2024-06-22,1,-0.9209316581175123
134,65107.96,9.2,46.6,SYN.BTC-22JUN24,0.0,71.8,65151.3043,53.64,0.0625,0.067,0.0,0.0,0.104,0.026,,"[[0.067, 46.6]]","[[0.0625, 9.2], [0.062, 40.0], [0.0005, 0.5], [0.0001, 1.2]]",,BTC-22JUN24-61000-C,0.0648,65107.96,71981142961,open,1718848241681,3.53779,-69.4764,5.84473,4e-05,0.9432,0.0,0.0,,,,61000.0,2024-06-22,1,0.9362820998811531
135,65108.28,18.7,16.0,SYN.BTC-22JUN24,50.8,55.38,65152.1457,53.64,0.0008,0.0012,0.0,6.3,0.0235,0.0001,0.0013,"[[0.0012, 16.0], [0.0013, 44.1], [0.0014, 49.7], [0.0015, 8.7], [0.0016, 0.1], [0.0018, 58.5], [0.0019, 0.1], [0.0025, 0.3]]","[[0.0008, 18.7], [0.0007, 41.3], [0.0006, 20.1], [0.0005, 22.0], [0.0004, 1.0], [0.0003, 59.4], [0.0002, 2.0], [0.0001, 26.5]]",,BTC-22JUN24-61000-P,0.001,65108.28,71981144799,open,1718848242933,-0.23278,-67.61622,5.84168,4e-05,-0.05676,540.47,6.4,0.0,0.0012,0.0013,61000.0,2024-06-22,1,-0.936270008372111
136,65110.23,7.3,4.9,SYN.BTC-22JUN24,0.0,60.79,65152.5,47.56,0.0475,0.052,0.0,0.0,0.0895,0.0125,,"[[0.052, 4.9], [0.0525, 40.0]]","[[0.0475, 7.3], [0.047, 40.0], [0.0005, 0.5], [0.0001, 1.2]]",,BTC-22JUN24-62000-C,0.05,65110.23,71981142977,open,1718848243695,3.46654,-87.16965,8.27062,7e-05,0.91069,0.0,0.0,,,,62000.0,2024-06-22,1,0.9516135221211772
137,65111.01,12.5,10.4,SYN.BTC-22JUN24,46.21,48.59,65154.73,47.56,0.0014,0.0017,0.0,18.2,0.0265,0.0001,0.0021,"[[0.0017, 10.4], [0.0018, 1.0], [0.0019, 14.4], [0.002, 59.7], [0.0021, 19.0], [0.0022, 17.0], [0.0023, 56.8], [0.0025, 0.1], [0.0026, 0.1], [0.003, 0.4]]","[[0.0014, 12.5], [0.0013, 18.0], [0.0012, 38.3], [0.0011, 21.3], [0.001, 9.0], [0.0006, 57.5], [0.0005, 17.0], [0.0001, 0.7]]",,BTC-22JUN24-62000-P,0.0016,65111.01,71981145147,open,1718848244702,-0.36539,-87.06375,8.26062,7e-05,-0.08916,2635.67,18.2,-8.6957,0.002,0.0026,62000.0,2024-06-22,1,-0.9515809519892109
